OTU ,Taxa,Phylum,Class
0,"d:Eukaryota(1.0000),p:Mollusca(0.9943),c:Gastropoda(0.9502),o:Caenogastropoda(0.9533),f:Unknown_Family_1003512(0.9471),g:Unknown_Genus_1001409(0.9232)",Mollusca,Gastropoda
1,"d:Eukaryota(1.0000),p:Florideophycidae(0.7900),c:Corallinophycidae(0.7732),o:Unknown_Order_1003045(0.7824),f:Unknown_Family_1003046(0.8281),g:Mesophyllum(0.2265)",Florideophycidae,Corallinophycidae
2,"d:Eukaryota(0.9672),p:Ochrophyta(0.2717),c:Diatomea(0.1472),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Psammodictyon(0.0019)",Ochrophyta,Diatomea
3,"d:Eukaryota(0.9446),p:Ochrophyta(0.2717),c:Diatomea(0.1472),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Nitzschia(0.0019)",Ochrophyta,Diatomea
4,"d:Eukaryota(1.0000),p:Dinoflagellata(0.6278),c:Dinophyceae(0.6316),o:Gymnodiniphycidae(0.5718),f:Gymnodinium_clade(0.5711),g:Spiniferodinium(0.6733)",Dinoflagellata,Dinophyceae
5,"d:Eukaryota(0.3116),p:Dinoflagellata(0.0265),c:Dinophyceae(0.0097),o:Gymnodiniphycidae(0.0039),f:Suessiaceae(0.0005),g:Unknown_Genus_1001773(0.0008)",Dinoflagellata,Dinophyceae
6,"d:Eukaryota(0.7864),p:Nematoda(0.1592),c:Chromadorea(0.0870),o:Araeolaimida(0.0156),f:Unknown_Family_1003522(0.0061),g:Unknown_Genus_1001419(0.0016)",Nematoda,Chromadorea
7,"d:Eukaryota(1.0000),p:Ochrophyta(0.4428),c:Diatomea(0.3267),o:Coscinodiscophytina(0.0942),f:Fragilariales(0.0486),g:Licmophora(0.0150)",Ochrophyta,Diatomea
8,"d:Eukaryota(0.8994),p:Arthropoda(0.2125),c:Insecta(0.1026),o:Orthoptera(0.0178),f:Unknown_Family_1003417(0.0073),g:Unknown_Genus_1001292(0.0017)",Arthropoda,Insecta
9,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.5284),c:Ulvophyceae(0.3104),o:Unknown_Order_1003017(0.2150),f:Unknown_Family_1003018(0.1131),g:Unknown_Genus_1001105(0.0357)",Unknown_Phylum_1002968,Ulvophyceae
10,"d:Eukaryota(1.0000),p:Ochrophyta(0.5899),c:Diatomea(0.5217),o:Bacillariophytina(0.2150),f:Bacillariophyceae(0.1131),g:Nitzschia(0.0357)",Ochrophyta,Diatomea
11,"d:Eukaryota(0.5829),p:Ochrophyta(0.1058),c:Diatomea(0.0559),o:Bacillariophytina(0.0100),f:Bacillariophyceae(0.0033),g:Frustulia(0.0013)",Ochrophyta,Diatomea
12,"d:Eukaryota(0.8090),p:Annelida(0.1725),c:Polychaeta(0.0948),o:Terebellida(0.0167),f:Unknown_Family_1003328(0.0067),g:Unknown_Genus_1001209(0.0017)",Annelida,Polychaeta
